EVSE_Type,Year,Accessibility
All EVSE,Year2014,32.8268485
All EVSE,Year2014,27.24778483
All EVSE,Year2014,97.18763547
All EVSE,Year2014,3.500340247
All EVSE,Year2014,107.7132494
All EVSE,Year2014,38.82459168
All EVSE,Year2014,17.699302
All EVSE,Year2014,162.7845803
All EVSE,Year2014,247.0729286
All EVSE,Year2014,9.540593987
All EVSE,Year2014,34.0469643
All EVSE,Year2014,18.87264056
All EVSE,Year2014,193.1531947
All EVSE,Year2014,55.4141723
All EVSE,Year2014,124.9626482
All EVSE,Year2014,188.2000327
All EVSE,Year2014,110.6976909
All EVSE,Year2014,177.5744869
All EVSE,Year2014,105.3494823
All EVSE,Year2014,53.88570078
All EVSE,Year2014,54.52154284
All EVSE,Year2014,83.8237951
All EVSE,Year2014,59.3473585
All EVSE,Year2014,25.53654739
All EVSE,Year2014,41.04832389
All EVSE,Year2014,76.40631157
All EVSE,Year2014,52.52162014
All EVSE,Year2014,36.71660197
All EVSE,Year2014,125.7265581
All EVSE,Year2014,150.3163
All EVSE,Year2014,194.0609807
All EVSE,Year2014,125.9668848
All EVSE,Year2014,91.50274165
All EVSE,Year2014,168.6402547
All EVSE,Year2014,98.33544863
All EVSE,Year2014,163.192193
All EVSE,Year2014,9.305214401
All EVSE,Year2014,121.9266941
All EVSE,Year2014,161.6705838
All EVSE,Year2014,91.37967106
All EVSE,Year2014,26.78895955
All EVSE,Year2014,74.64249602
All EVSE,Year2014,81.30339848
All EVSE,Year2014,14.88578745
All EVSE,Year2014,22.15734826
All EVSE,Year2014,83.75747979
All EVSE,Year2014,26.39802957
All EVSE,Year2014,28.55147637
All EVSE,Year2014,146.1427482
All EVSE,Year2014,14.45017598
All EVSE,Year2014,49.87595971
All EVSE,Year2014,313.7559869
All EVSE,Year2014,84.03554838
All EVSE,Year2014,3.230396574
All EVSE,Year2014,46.85781883
All EVSE,Year2014,53.10258563
All EVSE,Year2014,20.10401477
All EVSE,Year2014,49.33545686
All EVSE,Year2014,62.89926247
All EVSE,Year2014,44.42482517
All EVSE,Year2014,28.54173389
All EVSE,Year2014,157.3939304
All EVSE,Year2014,69.43351288
All EVSE,Year2014,111.0187392
All EVSE,Year2014,226.6442696
All EVSE,Year2014,253.6434504
All EVSE,Year2014,21.44793587
All EVSE,Year2014,22.14425078
All EVSE,Year2014,303.5323337
All EVSE,Year2014,71.9470244
All EVSE,Year2014,0.042814927
All EVSE,Year2014,50.90544591
All EVSE,Year2014,53.66428074
All EVSE,Year2014,40.347275
All EVSE,Year2014,29.10726001
All EVSE,Year2014,12.34682583
All EVSE,Year2014,53.04600096
All EVSE,Year2014,26.06641248
All EVSE,Year2014,33.80262378
All EVSE,Year2014,26.4229442
All EVSE,Year2014,52.84032042
All EVSE,Year2014,298.4718492
All EVSE,Year2014,32.16624336
