EVSE_Type,Year,Accessibility
All EVSE,Year2014,1.961242697340361
All EVSE,Year2014,7.692347553260254
All EVSE,Year2014,1.99790933911281
All EVSE,Year2014,1.584874745165327
All EVSE,Year2014,1.9645861536483011
All EVSE,Year2014,2.0675889729806416
All EVSE,Year2014,0.5726878708146237
All EVSE,Year2014,2.7735676098230457
All EVSE,Year2014,1.4515550337206873
All EVSE,Year2014,0.7348428668870247
All EVSE,Year2014,1.8730642023449044
All EVSE,Year2014,7.624326379008113
All EVSE,Year2014,0.4738419671309993
All EVSE,Year2014,1.8707707741625492
All EVSE,Year2014,0.966442219289236
All EVSE,Year2014,0.94976358920228
All EVSE,Year2014,0.6458506797396671
All EVSE,Year2014,2.9066117092656483
All EVSE,Year2014,1.845481085436975
All EVSE,Year2014,2.2788402348460544
All EVSE,Year2014,1.3941896999513428
All EVSE,Year2014,0.5910362610642319
All EVSE,Year2014,0.2975891191323184
All EVSE,Year2014,3.824660170678011
All EVSE,Year2014,1.280228507893675
All EVSE,Year2014,1.8752717953534812
All EVSE,Year2014,1.627994024029228
All EVSE,Year2014,1.1081419024025727
All EVSE,Year2014,42.92289606089887
All EVSE,Year2014,0.7355335580959447
All EVSE,Year2014,3.724817596000255
All EVSE,Year2014,1.3775266661928172
All EVSE,Year2014,0.4513905621689618
All EVSE,Year2014,4.224160927071811
All EVSE,Year2014,14.495032795795614
All EVSE,Year2014,0.6651699341486478
All EVSE,Year2014,0.4123077243259033
All EVSE,Year2014,2.846999190043796
All EVSE,Year2014,0.4991938483306549
All EVSE,Year2014,3.419493207294907
All EVSE,Year2014,0.8350233728695446
All EVSE,Year2014,3.411713234675992
All EVSE,Year2014,13.530371117406164
All EVSE,Year2014,2.40606184884798
All EVSE,Year2014,3.625824337745653
All EVSE,Year2014,5.904066498974919
All EVSE,Year2014,2.034179027365531
All EVSE,Year2014,3.957485215002264
All EVSE,Year2014,0.4173463146174872
All EVSE,Year2014,4.990239929612397
All EVSE,Year2014,3.5369547447955845
All EVSE,Year2014,3.570329274642753
All EVSE,Year2014,2.525873912179658
All EVSE,Year2014,1.7640996529293669
All EVSE,Year2014,8.450331786433193
All EVSE,Year2014,1.9219382393722968
All EVSE,Year2014,3.704692136409654
All EVSE,Year2014,10.07413401361758
All EVSE,Year2014,2.928077068396872
All EVSE,Year2014,1.4497972884162578
All EVSE,Year2014,4.226226334143932
All EVSE,Year2014,0.9706222180786616
All EVSE,Year2014,2.7572542194746505
All EVSE,Year2014,0.1840552524036458
All EVSE,Year2014,1.3006753575193102
All EVSE,Year2014,5.526085877483367
All EVSE,Year2014,7.067955079154238
All EVSE,Year2014,5.960603664384485
All EVSE,Year2014,4.887857941183185
All EVSE,Year2014,4.022364618334063
All EVSE,Year2014,0.6812503534774643
