,Year,EVSE_Count
530,2014,1.0
531,2014,2.0
532,2014,1.0
533,2014,1.0
534,2014,2.0
535,2014,1.0
536,2014,1.0
537,2014,2.0
538,2014,8.0
539,2014,2.0
540,2014,1.0
541,2014,14.0
542,2014,3.0
543,2014,2.0
544,2014,4.0
545,2014,2.0
546,2014,1.0
547,2014,1.0
548,2014,1.0
549,2014,1.0
550,2014,1.0
551,2014,2.0
552,2014,2.0
553,2014,1.0
554,2014,4.0
555,2014,2.0
556,2014,5.0
557,2014,4.0
558,2014,2.0
559,2014,3.0
560,2014,2.0
561,2014,1.0
562,2014,1.0
563,2014,2.0
564,2014,1.0
565,2014,1.0
566,2014,2.0
567,2014,1.0
568,2014,1.0
569,2014,3.0
570,2014,2.0
571,2014,2.0
572,2014,3.0
573,2014,2.0
574,2014,1.0
575,2014,1.0
576,2014,4.0
577,2014,1.0
578,2014,1.0
584,2014,2.0
586,2014,2.0
589,2014,1.0
590,2014,1.0
591,2014,1.0
592,2014,1.0
593,2014,1.0
594,2014,1.0
596,2014,2.0
660,2014,4.0
661,2014,1.0
678,2014,1.0
707,2014,1.0
865,2014,1.0
867,2014,1.0
870,2014,1.0
874,2014,1.0
875,2014,1.0
877,2014,1.0
878,2014,1.0
879,2014,1.0
880,2014,1.0
890,2014,5.0
901,2014,1.0
902,2014,1.0
903,2014,1.0
904,2014,2.0
905,2014,4.0
906,2014,2.0
907,2014,1.0
908,2014,2.0
909,2014,2.0
910,2014,2.0
911,2014,1.0
912,2014,2.0
913,2014,2.0
918,2014,1.0
921,2014,1.0
922,2014,1.0
930,2014,2.0
931,2014,2.0
933,2014,1.0
934,2014,3.0
935,2014,2.0
936,2014,3.0
937,2014,2.0
939,2014,5.0
941,2014,3.0
942,2014,3.0
943,2014,3.0
944,2014,1.0
945,2014,1.0
946,2014,1.0
947,2014,1.0
948,2014,1.0
949,2014,1.0
950,2014,2.0
952,2014,1.0
953,2014,1.0
954,2014,1.0
955,2014,1.0
956,2014,1.0
957,2014,1.0
958,2014,2.0
961,2014,1.0
962,2014,1.0
963,2014,1.0
965,2014,2.0
966,2014,1.0
967,2014,1.0
968,2014,1.0
969,2014,1.0
970,2014,1.0
971,2014,2.0
972,2014,1.0
973,2014,1.0
975,2014,1.0
976,2014,1.0
977,2014,1.0
978,2014,1.0
979,2014,1.0
980,2014,1.0
981,2014,1.0
982,2014,2.0
983,2014,1.0
984,2014,1.0
985,2014,1.0
986,2014,1.0
987,2014,1.0
988,2014,1.0
989,2014,1.0
990,2014,1.0
991,2014,1.0
995,2014,4.0
998,2014,1.0
1000,2014,1.0
1008,2014,2.0
1015,2014,1.0
1018,2014,2.0
1019,2014,2.0
1024,2014,1.0
1025,2014,1.0
