,Year,EVSE_Count
71571,2015,1.0
71577,2015,1.0
71604,2015,1.0
71607,2015,1.0
71609,2015,1.0
71613,2015,1.0
71617,2015,1.0
71695,2015,1.0
71768,2015,2.0
71770,2015,2.0
71771,2015,2.0
71772,2015,2.0
71781,2015,2.0
71786,2015,2.0
71798,2015,2.0
71806,2015,2.0
71811,2015,2.0
71952,2015,2.0
71965,2015,1.0
71994,2015,1.0
71999,2015,1.0
72004,2015,1.0
72006,2015,1.0
72011,2015,1.0
72053,2015,1.0
72065,2015,1.0
72081,2015,1.0
72089,2015,1.0
72090,2015,1.0
72091,2015,1.0
72097,2015,1.0
72187,2015,1.0
72192,2015,1.0
72225,2015,1.0
72237,2015,1.0
72252,2015,1.0
72257,2015,1.0
72258,2015,1.0
72259,2015,1.0
72260,2015,1.0
72261,2015,1.0
72263,2015,1.0
72264,2015,1.0
72266,2015,1.0
72267,2015,1.0
72268,2015,1.0
72283,2015,1.0
72286,2015,1.0
72287,2015,1.0
72289,2015,1.0
72290,2015,1.0
72291,2015,1.0
72296,2015,1.0
72298,2015,1.0
72301,2015,1.0
72302,2015,1.0
72311,2015,1.0
72317,2015,1.0
72323,2015,1.0
72324,2015,1.0
72325,2015,1.0
72330,2015,1.0
72332,2015,1.0
72342,2015,1.0
72349,2015,2.0
72373,2015,1.0
72374,2015,1.0
72395,2015,4.0
72400,2015,1.0
72402,2015,1.0
72416,2015,1.0
72417,2015,1.0
72441,2015,1.0
72442,2015,1.0
72445,2015,1.0
72446,2015,1.0
72448,2015,1.0
72449,2015,1.0
72452,2015,1.0
72460,2015,1.0
72461,2015,1.0
72464,2015,1.0
72467,2015,1.0
72468,2015,1.0
72476,2015,2.0
72488,2015,1.0
72495,2015,1.0
72496,2015,1.0
72497,2015,1.0
72498,2015,1.0
72499,2015,1.0
72500,2015,1.0
72501,2015,1.0
72502,2015,1.0
72503,2015,1.0
72504,2015,1.0
72505,2015,1.0
72506,2015,1.0
72507,2015,1.0
72508,2015,1.0
72509,2015,1.0
72510,2015,1.0
72512,2015,1.0
72515,2015,1.0
72522,2015,1.0
72526,2015,1.0
72529,2015,1.0
72531,2015,1.0
72532,2015,1.0
72544,2015,1.0
72547,2015,1.0
72552,2015,1.0
72559,2015,1.0
72561,2015,1.0
72562,2015,1.0
72566,2015,1.0
72567,2015,1.0
72658,2015,2.0
72659,2015,1.0
72660,2015,1.0
72661,2015,1.0
72662,2015,1.0
72665,2015,1.0
72667,2015,1.0
72668,2015,1.0
72669,2015,1.0
72673,2015,1.0
72675,2015,1.0
72676,2015,1.0
72689,2015,2.0
72711,2015,1.0
72716,2015,1.0
72717,2015,1.0
72720,2015,1.0
72737,2015,1.0
72749,2015,1.0
72751,2015,2.0
72754,2015,1.0
72758,2015,1.0
72760,2015,1.0
72763,2015,1.0
72781,2015,1.0
72783,2015,2.0
72844,2015,1.0
72881,2015,1.0
72882,2015,1.0
72884,2015,1.0
72885,2015,1.0
72886,2015,1.0
72887,2015,1.0
72890,2015,1.0
72891,2015,1.0
72893,2015,1.0
72894,2015,1.0
72895,2015,1.0
72905,2015,2.0
72930,2015,1.0
72991,2015,1.0
73021,2015,1.0
73028,2015,1.0
73054,2015,1.0
73079,2015,2.0
73099,2015,1.0
73103,2015,1.0
73104,2015,1.0
73112,2015,1.0
73113,2015,1.0
73144,2015,1.0
73169,2015,2.0
73195,2015,2.0
73222,2015,2.0
73226,2015,2.0
73259,2015,1.0
73260,2015,1.0
73261,2015,1.0
73262,2015,1.0
73263,2015,1.0
73264,2015,1.0
73265,2015,1.0
73266,2015,1.0
73267,2015,1.0
73268,2015,1.0
73269,2015,1.0
73270,2015,1.0
73271,2015,1.0
73279,2015,1.0
73283,2015,2.0
73284,2015,2.0
73316,2015,2.0
73353,2015,1.0
73354,2015,1.0
73370,2015,1.0
73385,2015,1.0
73387,2015,1.0
73390,2015,1.0
73394,2015,2.0
73417,2015,1.0
73422,2015,1.0
73433,2015,1.0
73462,2015,1.0
73463,2015,1.0
73468,2015,1.0
73485,2015,1.0
73486,2015,1.0
73497,2015,2.0
73501,2015,2.0
73505,2015,1.0
73524,2015,1.0
73525,2015,1.0
73540,2015,2.0
73548,2015,2.0
73551,2015,2.0
73564,2015,1.0
73566,2015,2.0
73568,2015,1.0
73570,2015,1.0
73572,2015,1.0
73573,2015,1.0
73584,2015,1.0
73589,2015,1.0
73615,2015,1.0
73617,2015,1.0
73618,2015,1.0
73619,2015,1.0
73734,2015,2.0
73736,2015,2.0
73747,2015,2.0
73761,2015,1.0
73778,2015,2.0
73784,2015,2.0
73786,2015,2.0
73807,2015,2.0
73844,2015,2.0
73850,2015,2.0
73863,2015,1.0
73880,2015,2.0
73915,2015,2.0
73976,2015,2.0
73983,2015,2.0
74010,2015,1.0
74011,2015,1.0
74015,2015,1.0
74019,2015,2.0
74065,2015,1.0
74090,2015,2.0
74107,2015,1.0
74108,2015,1.0
74109,2015,1.0
74113,2015,1.0
74280,2015,2.0
74295,2015,2.0
74356,2015,4.0
74375,2015,3.0
74383,2015,1.0
74399,2015,1.0
74401,2015,1.0
74403,2015,2.0
74407,2015,2.0
74452,2015,10.0
74453,2015,12.0
74454,2015,6.0
74467,2015,4.0
74468,2015,8.0
74469,2015,8.0
74470,2015,4.0
74475,2015,5.0
74476,2015,10.0
74477,2015,8.0
74478,2015,8.0
74479,2015,8.0
